No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
24,John Lambert,PF,6-10,225,"January 14, 1953",us US,4,USC,CLE,1980
15,Butch Lee,PG,6-0,185,"December 5, 1956",pr PR,1,Marquette,CLE,1980
30,Mike Mitchell,SF,6-7,215,"January 1, 1956",us US,1,Auburn,CLE,1980
25,Dave Robisch,C,6-10,235,"December 22, 1949",us US,8,Kansas,CLE,1980
21,Campy Russell,SF,6-8,215,"January 12, 1952",us US,5,Michigan,CLE,1980
7,Bingo Smith,SG,6-5,195,"February 26, 1946",us US,10,Tulsa,CLE,1980
9,Randy Smith,SG,6-3,180,"December 12, 1948",us US,8,Buffalo State,CLE,1980
11,Willie Smith,PG,6-2,170,"October 26, 1953",us US,3,Missouri,CLE,1980
43,Earl Tatum,SG,6-5,185,"July 26, 1953",us US,3,Marquette,CLE,1980
14,Foots Walker,PG,6-0,184,"May 21, 1951",us US,5,"Vincennes University, West Georgia",CLE,1980
33,Bill Willoughby,SF,6-8,205,"May 20, 1957",us US,3,,CLE,1980
23,Mike Bratz,PG,6-2,185,"October 17, 1955",us US,3,Stanford,CLE,1981
21,Mack Calvin,PG,6-0,165,"July 27, 1947",us US,10,"Long Beach City College, USC",CLE,1981
32,Kenny Carr,PF,6-7,220,"August 15, 1955",us US,3,NC State,CLE,1981
35,Don Ford,SF,6-9,215,"December 31, 1952",us US,5,"New Mexico, UC Santa Barbara",CLE,1981
"3, 12, 44",Kim Hughes,C,6-11,220,"June 4, 1952",us US,5,Wisconsin,CLE,1981
20,Geoff Huston,PG,6-2,175,"November 8, 1957",us US,1,Texas Tech,CLE,1981
40,Walter Jordan,SF,6-7,198,"February 19, 1956",us US,R,Purdue,CLE,1981
20,Chad Kinch,SG,6-4,190,"May 22, 1958",us US,R,UNC Charlotte,CLE,1981
41,Bill Laimbeer,C,6-11,245,"May 19, 1957",us US,R,Notre Dame,CLE,1981
24,John Lambert,PF,6-10,225,"January 14, 1953",us US,5,USC,CLE,1981
30,Mike Mitchell,SF,6-7,215,"January 1, 1956",us US,2,Auburn,CLE,1981
15,Roger Phegley,SG,6-6,205,"October 16, 1956",us US,2,Bradley,CLE,1981
50,Bill Robinzine,PF,6-7,230,"January 20, 1953",us US,5,DePaul,CLE,1981
25,Dave Robisch,C,6-10,235,"December 22, 1949",us US,9,Kansas,CLE,1981
9,Randy Smith,SG,6-3,180,"December 12, 1948",us US,9,Buffalo State,CLE,1981
10,Robert Smith,PG,5-11,165,"March 10, 1955",us US,3,UNLV,CLE,1981
31,Richard Washington,PF,6-11,220,"July 15, 1955",us US,4,UCLA,CLE,1981
52,Jerome Whitehead,C,6-10,220,"September 30, 1956",us US,2,Marquette,CLE,1981
52,Mel Bennett,PF,6-7,200,"January 4, 1955",us US,4,Pitt,CLE,1982
52,Brad Branson,PF,6-10,220,"September 24, 1958",us US,R,SMU,CLE,1982
10,Ron Brewer,SG,6-4,180,"July 16, 1955",us US,3,Arkansas,CLE,1982
32,Kenny Carr,PF,6-7,220,"August 15, 1955",us US,4,NC State,CLE,1982
9,Mickey Dillard,PG,6-3,170,"October 15, 1958",us US,R,Florida State,CLE,1982
40,James Edwards,C,7-0,225,"November 22, 1955",us US,4,Washington,CLE,1982
5,Mike Evans,PG,6-1,170,"April 19, 1955",us US,2,Kansas State,CLE,1982
35,Don Ford,SF,6-9,215,"December 31, 1952",us US,6,"New Mexico, UC Santa Barbara",CLE,1982
15,Keith Herron,SG,6-6,195,"June 14, 1956",us US,2,Villanova,CLE,1982
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,2,Michigan,CLE,1982
20,Geoff Huston,PG,6-2,175,"November 8, 1957",us US,2,Texas Tech,CLE,1982
44,Reggie Johnson,PF,6-9,205,"June 25, 1957",us US,1,Tennessee,CLE,1982
41,Bill Laimbeer,C,6-11,245,"May 19, 1957",us US,1,Notre Dame,CLE,1982
30,Mike Mitchell,SF,6-7,215,"January 1, 1956",us US,3,Auburn,CLE,1982
44,Paul Mokeski,C,7-0,250,"January 3, 1957",us US,2,Kansas,CLE,1982
14,Lowes Moore,PG,6-1,170,"May 5, 1957",us US,1,West Virginia,CLE,1982
15,Roger Phegley,SG,6-6,205,"October 16, 1956",us US,3,Bradley,CLE,1982
24,Kevin Restani,PF,6-9,225,"December 23, 1951",us US,7,San Francisco,CLE,1982
11,Cliff Robinson,PF,6-9,220,"March 13, 1960",us US,2,USC,CLE,1982
13,James Silas,SG,6-1,180,"February 11, 1949",us US,9,Stephen F. Austin,CLE,1982
31,Richard Washington,PF,6-11,220,"July 15, 1955",us US,5,UCLA,CLE,1982
8,Scott Wedman,SF,6-7,215,"July 29, 1952",us US,7,Colorado,CLE,1982
33,Bob Wilkerson,SF,6-6,195,"August 15, 1954",us US,5,Indiana,CLE,1982
5,John Bagley,PG,6-0,185,"April 23, 1960",us US,R,Boston College,CLE,1983
10,Ron Brewer,SG,6-4,180,"July 16, 1955",us US,4,Arkansas,CLE,1983
44,Jeff Cook,PF,6-10,215,"October 21, 1956",us US,3,Idaho State University,CLE,1983
40,James Edwards,C,7-0,225,"November 22, 1955",us US,5,Washington,CLE,1983
23,Bruce Flowers,PF,6-8,225,"June 13, 1957",us US,R,Notre Dame,CLE,1983
21,World B. Free,SG,6-2,185,"December 9, 1953",us US,7,Guilford College,CLE,1983
41,Steve Hayes,C,7-0,205,"August 2, 1955",us US,1,Idaho State University,CLE,1983
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,3,Michigan,CLE,1983
20,Geoff Huston,PG,6-2,175,"November 8, 1957",us US,3,Texas Tech,CLE,1983
9,Larry Kenon,PF,6-9,205,"December 13, 1952",us US,9,"Amarillo College, Memphis",CLE,1983
52,Sam Lacey,C,6-10,235,"March 28, 1948",us US,12,New Mexico State,CLE,1983
30,Dave Magley,SF,6-8,202,"November 24, 1959",us US,R,Kansas,CLE,1983
44,Paul Mokeski,C,7-0,250,"January 3, 1957",us US,3,Kansas,CLE,1983
24,Carl Nicks,SG,6-1,175,"October 6, 1958",us US,2,Indiana State University,CLE,1983
11,Cliff Robinson,PF,6-9,220,"March 13, 1960",us US,3,USC,CLE,1983
25,Darren Tillis,C,6-11,215,"February 23, 1960",us US,R,Cleveland State University,CLE,1983
8,Scott Wedman,SF,6-7,215,"July 29, 1952",us US,8,Colorado,CLE,1983
33,Bob Wilkerson,SF,6-6,195,"August 15, 1954",us US,6,Indiana,CLE,1983
5,John Bagley,PG,6-0,185,"April 23, 1960",us US,1,Boston College,CLE,1984
45,Jeff Cook,C,6-10,215,"October 21, 1956",us US,4,Idaho State University,CLE,1984
41,Geoff Crompton,C,6-11,280,"July 4, 1955",us US,4,UNC,CLE,1984
21,World B. Free,SG,6-2,185,"December 9, 1953",us US,8,Guilford College,CLE,1984
55,John Garris,PF,6-8,205,"June 6, 1959",us US,R,"Michigan, Boston College",CLE,1984
10,Stewart Granger,PG,6-3,190,"October 27, 1961",ca CA,R,Villanova,CLE,1984
32,Roy Hinson,SF,6-9,210,"May 2, 1961",us US,R,Rutgers University,CLE,1984
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,4,Michigan,CLE,1984
20,Geoff Huston,PG,6-2,175,"November 8, 1957",us US,4,Texas Tech,CLE,1984
50,Ben Poquette,PF,6-9,235,"May 7, 1955",us US,6,Central Michigan University,CLE,1984
11,Cliff Robinson,C,6-9,220,"March 13, 1960",us US,4,USC,CLE,1984
8,Lonnie Shelton,PF,6-8,240,"October 19, 1955",us US,7,Oregon State,CLE,1984
33,Paul Thompson,SF,6-6,210,"May 25, 1961",us US,R,Tulane,CLE,1984
25,Ron Anderson,SF,6-7,215,"October 15, 1958",us US,R,Fresno State,CLE,1985
5,John Bagley,PG,6-0,185,"April 23, 1960",us US,2,Boston College,CLE,1985
45,Jeff Cook,PF,6-10,215,"October 21, 1956",us US,5,Idaho State University,CLE,1985
16,Johnny Davis,PG,6-2,170,"October 21, 1955",us US,8,Dayton,CLE,1985
21,World B. Free,SG,6-2,185,"December 9, 1953",us US,9,Guilford College,CLE,1985
10,Butch Graves,SG,6-3,200,"January 5, 1962",us US,R,Yale,CLE,1985
32,Roy Hinson,PF,6-9,210,"May 2, 1961",us US,1,Rutgers University,CLE,1985
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,5,Michigan,CLE,1985
20,Geoff Huston,PG,6-2,175,"November 8, 1957",us US,5,Texas Tech,CLE,1985
44,Edgar Jones,PF,6-10,225,"June 17, 1956",us US,4,Nevada,CLE,1985
50,Ben Poquette,PF,6-9,235,"May 7, 1955",us US,7,Central Michigan University,CLE,1985
4,Campy Russell,SF,6-8,215,"January 12, 1952",us US,8,Michigan,CLE,1985
8,Lonnie Shelton,PF,6-8,240,"October 19, 1955",us US,8,Oregon State,CLE,1985
10,Robert Smith,PG,5-11,165,"March 10, 1955",us US,6,UNLV,CLE,1985
33,Paul Thompson,SF,6-6,210,"May 25, 1961",us US,1,Tulane,CLE,1985
54,Melvin Turpin,C,6-11,240,"December 28, 1960",us US,R,Kentucky,CLE,1985
41,Mark West,C,6-10,230,"November 5, 1960",us US,1,Old Dominion,CLE,1985
12,Kevin Williams,SG,6-2,175,"September 11, 1961",us US,1,"TCU, St. John's",CLE,1985
22,Michael Wilson,SG,6-4,175,"September 15, 1959",us US,1,Marquette,CLE,1985
25,Ron Anderson,SF,6-7,215,"October 15, 1958",us US,1,Fresno State,CLE,1986
5,John Bagley,PG,6-0,185,"April 23, 1960",us US,3,Boston College,CLE,1986
10,Ron Brewer,SG,6-4,180,"July 16, 1955",us US,7,Arkansas,CLE,1986
16,Johnny Davis,SG,6-2,170,"October 21, 1955",us US,9,Dayton,CLE,1986
21,World B. Free,SG,6-2,185,"December 9, 1953",us US,10,Guilford College,CLE,1986
32,Roy Hinson,SF,6-9,210,"May 2, 1961",us US,2,Rutgers University,CLE,1986
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,6,Michigan,CLE,1986
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,8,Auburn,CLE,1986
44,Edgar Jones,PF,6-10,225,"June 17, 1956",us US,5,Nevada,CLE,1986
24,Keith Lee,PF,6-10,215,"December 28, 1962",us US,R,Memphis,CLE,1986
33,Ben McDonald,SF,6-8,210,"July 20, 1962",us US,R,"University of California, Irvine",CLE,1986
14,Dirk Minniefield,PG,6-3,180,"January 17, 1961",us US,R,Kentucky,CLE,1986
50,Ben Poquette,PF,6-9,235,"May 7, 1955",us US,8,Central Michigan University,CLE,1986
8,Lonnie Shelton,PF,6-8,240,"October 19, 1955",us US,9,Oregon State,CLE,1986
54,Melvin Turpin,C,6-11,240,"December 28, 1960",us US,1,Kentucky,CLE,1986
41,Mark West,C,6-10,230,"November 5, 1960",us US,2,Old Dominion,CLE,1986
3,Ennis Whatley,PG,6-3,177,"August 11, 1962",us US,2,Alabama,CLE,1986
5,John Bagley,PG,6-0,185,"April 23, 1960",us US,4,Boston College,CLE,1987
23,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,1,DePaul,CLE,1987
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,R,UNC,CLE,1987
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,3,"Odessa College, Washington State",CLE,1987
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,R,Miami University,CLE,1987
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,7,Michigan,CLE,1987
24,Keith Lee,PF,6-10,215,"December 28, 1962",us US,1,Memphis,CLE,1987
20,Scooter McCray,PF,6-9,215,"February 8, 1960",us US,2,Louisville,CLE,1987
14,Dirk Minniefield,PG,6-3,180,"January 17, 1961",us US,1,Kentucky,CLE,1987
22,Johnny Newman,SF,6-7,190,"November 28, 1963",us US,R,Richmond,CLE,1987
50,Ben Poquette,PF,6-9,235,"May 7, 1955",us US,9,Central Michigan University,CLE,1987
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,R,Georgia Tech,CLE,1987
54,Melvin Turpin,C,6-11,240,"December 28, 1960",us US,2,Kentucky,CLE,1987
41,Mark West,C,6-10,230,"November 5, 1960",us US,3,Old Dominion,CLE,1987
18,Hot Rod Williams,PF,6-11,215,"August 9, 1962",us US,R,Tulane,CLE,1987
54,Kent Benson,C,6-10,235,"December 27, 1954",us US,10,Indiana,CLE,1988
23,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,2,DePaul,CLE,1988
30,Dell Curry,SG,6-4,190,"June 25, 1964",us US,1,Virginia Tech,CLE,1988
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,1,UNC,CLE,1988
22,Chris Dudley,C,6-11,235,"February 22, 1965",us US,R,Yale,CLE,1988
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,4,"Odessa College, Washington State",CLE,1988
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,1,Miami University,CLE,1988
12,Kevin Henderson,SG,6-4,195,"March 22, 1964",us US,1,Cal State Fullerton,CLE,1988
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,8,Michigan,CLE,1988
33,Kannard Johnson,SF,6-9,220,"June 24, 1965",us US,R,Western Kentucky,CLE,1988
11,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,R,California,CLE,1988
6,Larry Nance,PF,6-10,205,"February 12, 1959",us US,6,Clemson,CLE,1988
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,1,Georgia Tech,CLE,1988
32,Johnny Rogers,PF,6-10,225,"December 30, 1963",us US,1,"Stanford, University of California, Irvine",CLE,1988
11,Mike Sanders,SF,6-6,210,"May 7, 1960",us US,5,UCLA,CLE,1988
41,Mark West,C,6-10,230,"November 5, 1960",us US,4,Old Dominion,CLE,1988
18,Hot Rod Williams,PF,6-11,215,"August 9, 1962",us US,1,Tulane,CLE,1988
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,2,UNC,CLE,1989
24,Chris Dudley,C,6-11,235,"February 22, 1965",us US,1,Yale,CLE,1989
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,5,"Odessa College, Washington State",CLE,1989
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,2,Miami University,CLE,1989
35,Phil Hubbard,SF,6-8,215,"December 13, 1956",us US,9,Michigan,CLE,1989
31,Randolph Keys,SF,6-7,195,"April 19, 1966",us US,R,Southern Miss,CLE,1989
22,Larry Nance,PF,6-10,205,"February 12, 1959",us US,7,Clemson,CLE,1989
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,2,Georgia Tech,CLE,1989
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,11,Clemson,CLE,1989
11,Mike Sanders,SF,6-6,210,"May 7, 1960",us US,6,UCLA,CLE,1989
1,Darnell Valentine,SG,6-1,183,"February 3, 1959",us US,7,Kansas,CLE,1989
18,Hot Rod Williams,PF,6-11,215,"August 9, 1962",us US,2,Tulane,CLE,1989
20,Winston Bennett,SF,6-7,210,"February 9, 1965",us US,R,Kentucky,CLE,1990
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,R,NC State,CLE,1990
33,Derrick Chievous,SF,6-7,195,"July 3, 1967",us US,1,Missouri,CLE,1990
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,3,UNC,CLE,1990
24,Chris Dudley,PF,6-11,235,"February 22, 1965",us US,2,Yale,CLE,1990
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,6,"Odessa College, Washington State",CLE,1990
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,3,Miami University,CLE,1990
5,Steve Kerr,PG,6-3,175,"September 27, 1965",lb LB,1,Arizona,CLE,1990
31,Randolph Keys,SF,6-7,195,"April 19, 1966",us US,1,Southern Miss,CLE,1990
44,Paul Mokeski,C,7-0,250,"January 3, 1957",us US,10,Kansas,CLE,1990
23,John Morton,SG,6-3,180,"May 18, 1967",us US,R,Seton Hall,CLE,1990
22,Larry Nance,PF,6-10,205,"February 12, 1959",us US,8,Clemson,CLE,1990
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,3,Georgia Tech,CLE,1990
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,12,Clemson,CLE,1990
54,Gary Voce,PF,6-9,240,"November 24, 1965",jm JM,R,Notre Dame,CLE,1990
18,Hot Rod Williams,PF,6-11,215,"August 9, 1962",us US,3,Tulane,CLE,1990
2,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,2,Georgetown,CLE,1990
0,Miloš Babić,PF,7-0,240,"November 23, 1968",rs RS,R,Tennessee Technological University,CLE,1991
20,Winston Bennett,SF,6-7,210,"February 9, 1965",us US,1,Kentucky,CLE,1991
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,1,NC State,CLE,1991
33,Derrick Chievous,SF,6-7,195,"July 3, 1967",us US,2,Missouri,CLE,1991
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,4,UNC,CLE,1991
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,7,"Odessa College, Washington State",CLE,1991
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,R,Duke,CLE,1991
32,Henry James,PF,6-8,220,"July 29, 1965",us US,R,"South Plains College, St. Mary's University",CLE,1991
5,Steve Kerr,PG,6-3,175,"September 27, 1965",lb LB,2,Arizona,CLE,1991
23,John Morton,SF,6-3,180,"May 18, 1967",us US,1,Seton Hall,CLE,1991
22,Larry Nance,PF,6-10,205,"February 12, 1959",us US,9,Clemson,CLE,1991
24,Gerald Paddio,SF,6-7,205,"April 21, 1965",us US,R,UNLV,CLE,1991
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,4,Georgia Tech,CLE,1991
1,Darnell Valentine,PG,6-1,183,"February 3, 1959",us US,8,Kansas,CLE,1991
18,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,4,Tulane,CLE,1991
2,Mike Woodson,SG,6-5,195,"March 24, 1958",us US,10,Indiana,CLE,1991
10,John Battle,SG,6-2,175,"November 9, 1962",us US,6,Rutgers University,CLE,1992
20,Winston Bennett,SF,6-7,210,"February 9, 1965",us US,2,Kentucky,CLE,1992
11,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,R,Oregon,CLE,1992
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,2,NC State,CLE,1992
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,5,UNC,CLE,1992
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,8,"Odessa College, Washington State",CLE,1992
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,1,Duke,CLE,1992
32,Henry James,SF,6-8,220,"July 29, 1965",us US,1,"South Plains College, St. Mary's University",CLE,1992
4,Steve Kerr,PG,6-3,175,"September 27, 1965",lb LB,3,Arizona,CLE,1992
23,John Morton,SG,6-3,180,"May 18, 1967",us US,2,Seton Hall,CLE,1992
22,Larry Nance,PF,6-10,205,"February 12, 1959",us US,10,Clemson,CLE,1992
24,Jimmy Oliver,SG,6-5,205,"July 12, 1969",us US,R,Purdue,CLE,1992
14,Bobby Phills,SG,6-5,210,"December 20, 1969",us US,R,Southern University and A&M College,CLE,1992
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,5,Georgia Tech,CLE,1992
33,Mike Sanders,SF,6-6,210,"May 7, 1960",us US,9,UCLA,CLE,1992
18,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,5,Tulane,CLE,1992
10,John Battle,SG,6-2,175,"November 9, 1962",us US,7,Rutgers University,CLE,1993
11,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,1,Oregon,CLE,1993
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,6,UNC,CLE,1993
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,9,"Odessa College, Washington State",CLE,1993
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,2,Duke,CLE,1993
54,Jay Guidinger,C,6-10,255,"August 18, 1969",us US,R,University of Minnesota Duluth,CLE,1993
4,Steve Kerr,PG,6-3,175,"September 27, 1965",lb LB,4,Arizona,CLE,1993
30,Jerome Lane,PF,6-6,230,"December 4, 1966",us US,4,Pitt,CLE,1993
22,Larry Nance,PF,6-10,205,"February 12, 1959",us US,11,Clemson,CLE,1993
14,Bobby Phills,SG,6-5,210,"December 20, 1969",us US,1,Southern University and A&M College,CLE,1993
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,6,Georgia Tech,CLE,1993
33,Mike Sanders,SF,6-6,210,"May 7, 1960",us US,10,UCLA,CLE,1993
21,Gerald Wilkins,SF,6-6,185,"September 11, 1963",us US,7,Chattanooga,CLE,1993
18,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,6,Tulane,CLE,1993
16,Gary Alexander,PF,6-7,240,"November 1, 1969",us US,R,South Florida,CLE,1994
10,John Battle,SG,6-2,175,"November 9, 1962",us US,8,Rutgers University,CLE,1994
11,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,2,Oregon,CLE,1994
43,Brad Daugherty,C,7-0,245,"October 19, 1965",us US,7,UNC,CLE,1994
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,3,Duke,CLE,1994
54,Jay Guidinger,C,6-10,255,"August 18, 1969",us US,1,University of Minnesota Duluth,CLE,1994
23,Rod Higgins,SF,6-7,200,"January 31, 1960",us US,11,Fresno State,CLE,1994
32,Tyrone Hill,PF,6-9,240,"March 19, 1968",us US,3,Xavier,CLE,1994
8,Tim Kempton,PF,6-10,245,"January 25, 1964",us US,4,Notre Dame,CLE,1994
12,Gerald Madkins,SG,6-4,200,"April 18, 1969",us US,R,UCLA,CLE,1994
24,Chris Mills,SF,6-6,215,"January 25, 1970",us US,R,"Kentucky, Arizona",CLE,1994
22,Larry Nance,PF,6-10,205,"February 12, 1959",us US,12,Clemson,CLE,1994
14,Bobby Phills,SG,6-5,210,"December 20, 1969",us US,2,Southern University and A&M College,CLE,1994
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,7,Georgia Tech,CLE,1994
4,Sedric Toney,PG,6-2,178,"April 13, 1962",us US,4,Dayton,CLE,1994
21,Gerald Wilkins,SG,6-6,185,"September 11, 1963",us US,8,Chattanooga,CLE,1994
18,Hot Rod Williams,PF,6-11,215,"August 9, 1962",us US,7,Tulane,CLE,1994
10,John Battle,SG,6-2,175,"November 9, 1962",us US,9,Rutgers University,CLE,1995
12,Elmer Bennett,PG,6-0,170,"February 13, 1970",us US,R,Notre Dame,CLE,1995
11,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,3,Oregon,CLE,1995
44,Michael Cage,C,6-9,224,"January 28, 1962",us US,10,San Diego State,CLE,1995
9,Tony Campbell,SF,6-7,215,"May 7, 1962",us US,10,Ohio State,CLE,1995
5,Steve Colter,PG,6-3,165,"July 24, 1962",us US,7,New Mexico State,CLE,1995
30,Greg Dreiling,C,7-1,250,"November 7, 1962",us US,8,"Wichita State, Kansas",CLE,1995
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,4,Duke,CLE,1995
32,Tyrone Hill,C,6-9,240,"March 19, 1968",us US,4,Xavier,CLE,1995
12,Gerald Madkins,SG,6-4,200,"April 18, 1969",us US,1,UCLA,CLE,1995
24,Chris Mills,SF,6-6,215,"January 25, 1970",us US,1,"Kentucky, Arizona",CLE,1995
14,Bobby Phills,SG,6-5,210,"December 20, 1969",us US,3,Southern University and A&M College,CLE,1995
25,Mark Price,PG,6-0,170,"February 15, 1964",us US,8,Georgia Tech,CLE,1995
31,Fred Roberts,SF,6-10,218,"August 14, 1960",us US,10,BYU,CLE,1995
18,Hot Rod Williams,PF,6-11,215,"August 9, 1962",us US,8,Tulane,CLE,1995
13,John Amaechi,PF,6-10,270,"November 26, 1970",us US,R,"Vanderbilt, Penn State",CLE,1996
1,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,4,Oregon,CLE,1996
44,Michael Cage,C,6-9,224,"January 28, 1962",us US,11,San Diego State,CLE,1996
40,Joe Courtney,PF,6-8,235,"October 17, 1969",us US,2,"Mississippi State, Southern Miss",CLE,1996
11,John Crotty,PG,6-1,185,"July 15, 1969",us US,3,Virginia,CLE,1996
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,5,Duke,CLE,1996
32,Tyrone Hill,PF,6-9,240,"March 19, 1968",us US,5,Xavier,CLE,1996
30,Darryl Johnson,PG,6-1,170,"October 26, 1965",us US,R,Michigan State,CLE,1996
21,Antonio Lang,SF,6-8,205,"May 15, 1972",us US,1,Duke,CLE,1996
9,Dan Majerle,SF,6-6,215,"September 9, 1965",us US,7,Central Michigan University,CLE,1996
33,Donny Marshall,SF,6-7,230,"July 17, 1972",us US,R,UConn,CLE,1996
24,Chris Mills,SF,6-6,215,"January 25, 1970",us US,2,"Kentucky, Arizona",CLE,1996
4,Harold Miner,SG,6-5,210,"May 5, 1971",us US,3,USC,CLE,1996
14,Bobby Phills,SG,6-5,210,"December 20, 1969",us US,4,Southern University and A&M College,CLE,1996
3,Bob Sura,SG,6-5,200,"March 25, 1973",us US,R,Florida State,CLE,1996
1,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,5,Oregon,CLE,1997
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,6,Duke,CLE,1997
2,Reggie Geary,PG,6-2,187,"August 31, 1973",us US,R,Arizona,CLE,1997
32,Tyrone Hill,C,6-9,240,"March 19, 1968",us US,6,Xavier,CLE,1997
21,Antonio Lang,PF,6-8,205,"May 15, 1972",us US,2,Duke,CLE,1997
33,Donny Marshall,SF,6-7,230,"July 17, 1972",us US,1,UConn,CLE,1997
24,Chris Mills,SF,6-6,215,"January 25, 1970",us US,3,"Kentucky, Arizona",CLE,1997
14,Bobby Phills,SG,6-5,210,"December 20, 1969",us US,5,Southern University and A&M College,CLE,1997
52,Vitaly Potapenko,C,6-10,280,"March 21, 1975",ua UA,R,Wright State University,CLE,1997
44,Shawnelle Scott,C,6-10,250,"June 16, 1972",us US,R,St. John's,CLE,1997
3,Bob Sura,SG,6-5,200,"March 25, 1973",us US,1,Florida State,CLE,1997
23,Carl Thomas,SG,6-4,175,"October 3, 1969",us US,1,Eastern Michigan,CLE,1997
41,Mark West,C,6-10,230,"November 5, 1960",us US,13,Old Dominion,CLE,1997
23,Derek Anderson,SF,6-5,194,"July 18, 1974",us US,R,"Ohio State, Kentucky",CLE,1998
2,Scott Brooks,PG,5-11,165,"July 31, 1965",us US,9,"TCU, University of California, Irvine",CLE,1998
6,Mitchell Butler,SG,6-5,210,"December 15, 1970",us US,4,UCLA,CLE,1998
27,Tony Dumas,SG,6-6,190,"August 25, 1972",us US,3,Missouri-Kansas City,CLE,1998
35,Danny Ferry,PF,6-10,230,"October 17, 1966",us US,7,Duke,CLE,1998
20,Greg Graham,SG,6-4,174,"November 26, 1970",us US,4,Indiana,CLE,1998
45,Cedric Henderson,SF,6-7,215,"March 11, 1975",us US,R,Memphis,CLE,1998
11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt LT,R,,CLE,1998
32,Henry James,PF,6-8,220,"July 29, 1965",us US,6,"South Plains College, St. Mary's University",CLE,1998
4,Shawn Kemp,PF,6-10,230,"November 26, 1969",us US,8,"Trinity Valley CC, Kentucky",CLE,1998
12,Brevin Knight,PG,5-10,173,"November 8, 1975",us US,R,Stanford,CLE,1998
1,Wesley Person,SG,6-6,195,"March 28, 1971",us US,3,Auburn,CLE,1998
52,Vitaly Potapenko,C,6-10,280,"March 21, 1975",ua UA,1,Wright State University,CLE,1998
44,Shawnelle Scott,C,6-10,250,"June 16, 1972",us US,1,St. John's,CLE,1998
3,Bob Sura,SG,6-5,200,"March 25, 1973",us US,2,Florida State,CLE,1998
