No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
43,Javonte Green,SF,6-4,205,"July 23, 1993",us US,1,Radford,BOS,2021
40,Luke Kornet,C,7-2,250,"July 15, 1995",us US,3,Vanderbilt,BOS,2021
45,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,1,Indiana,BOS,2021
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,R,Vanderbilt,BOS,2021
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,3,"Duke, SMU",BOS,2021
20,Jabari Parker,PF,6-8,245,"March 15, 1995",us US,6,Duke,BOS,2021
11,Payton Pritchard,SG,6-1,195,"January 28, 1998",us US,R,Oregon,BOS,2021
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,6,Oklahoma State,BOS,2021
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,3,Duke,BOS,2021
55,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,11,Wake Forest,BOS,2021
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,3,,BOS,2021
13,Tristan Thompson,C,6-9,254,"March 13, 1991",ca CA,9,Texas,BOS,2021
20,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,2,Michigan,BOS,2021
8,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,9,UConn,BOS,2021
51,Tremont Waters,PG,5-10,175,"January 10, 1998",us US,1,LSU,BOS,2021
12,Grant Williams,PF,6-6,236,"November 30, 1998",us US,1,Tennessee,BOS,2021
44,Robert Williams,C,6-9,237,"October 17, 1997",us US,2,Texas A&M,BOS,2021
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,5,California,BOS,2022
28,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,2,Maryland,BOS,2022
8,Malik Fitts,PF,6-8,230,"July 4, 1997",us US,1,"South Florida, Saint Mary's",BOS,2022
13,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,10,Kentucky,BOS,2022
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us US,R,"Marquette, Virginia",BOS,2022
41,Juancho Hernangómez,PF,6-9,214,"September 28, 1995",es ES,5,,BOS,2022
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,14,Florida,BOS,2022
43,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,4,UNC,BOS,2022
55,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,17,Arkansas,BOS,2022
40,Luke Kornet,C,7-2,250,"July 15, 1995",us US,4,Vanderbilt,BOS,2022
9,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,2,Indiana,BOS,2022
4,Kelan Martin,SF,6-5,230,"August 3, 1995",us US,2,Butler,BOS,2022
50,C.J. Miles,SG,6-6,220,"March 18, 1987",us US,15,,BOS,2022
4,Juwan Morgan,PF,6-7,232,"April 17, 1997",us US,2,Indiana,BOS,2022
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,1,Vanderbilt,BOS,2022
20,Jabari Parker,PF,6-8,245,"March 15, 1995",us US,7,Duke,BOS,2022
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,1,Oregon,BOS,2022
8,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,6,Tennessee,BOS,2022
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,R,"Notre Dame, Vanderbilt, Chattanooga",BOS,2022
71,Dennis Schröder,PG,6-1,172,"September 15, 1993",de DE,8,,BOS,2022
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,7,Oklahoma State,BOS,2022
13,Nik Stauskas,SG,6-6,205,"October 7, 1993",ca CA,5,Michigan,BOS,2022
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,4,Duke,BOS,2022
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,4,,BOS,2022
97,Brodric Thomas,SG,6-5,185,"January 28, 1997",us US,1,Truman State University,BOS,2022
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,4,"Colorado-Colorado Springs, Colorado",BOS,2022
12,Grant Williams,PF,6-6,236,"November 30, 1998",us US,2,Tennessee,BOS,2022
44,Robert Williams,C,6-9,237,"October 17, 1997",us US,3,Texas A&M,BOS,2022
13,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,6,Virginia,BOS,2023
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,6,California,BOS,2023
99,Justin Champagnie,SF,6-6,200,"June 29, 2001",us US,1,Pitt,BOS,2023
20,JD Davison,SG,6-1,195,"October 3, 2002",us US,R,Alabama,BOS,2023
91,Blake Griffin,C,6-9,250,"March 16, 1989",us US,12,Oklahoma,BOS,2023
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us US,1,"Marquette, Virginia",BOS,2023
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,15,Florida,BOS,2023
43,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,5,UNC,BOS,2023
28,Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca CA,2,Florida State,BOS,2023
40,Luke Kornet,C,7-2,250,"July 15, 1995",us US,5,Vanderbilt,BOS,2023
57,Mike Muscala,C,6-10,240,"July 1, 1991",us US,9,Bucknell,BOS,2023
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,2,Oregon,BOS,2023
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,8,Oklahoma State,BOS,2023
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,5,Duke,BOS,2023
4,Noah Vonleh,C,6-10,257,"August 24, 1995",us US,7,Indiana,BOS,2023
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,5,"Colorado-Colorado Springs, Colorado",BOS,2023
12,Grant Williams,PF,6-6,236,"November 30, 1998",us US,3,Tennessee,BOS,2023
44,Robert Williams,C,6-9,237,"October 17, 1997",us US,4,Texas A&M,BOS,2023
45,Dalano Banton,PG,6-9,204,"November 7, 1999",ca CA,2,Nebraska,BOS,2024
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca CA,4,Syracuse,BOS,2024
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,7,California,BOS,2024
20,JD Davison,SG,6-1,195,"October 3, 2002",us US,1,Alabama,BOS,2024
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us US,2,"Marquette, Virginia",BOS,2024
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,14,UCLA,BOS,2024
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,16,Florida,BOS,2024
40,Luke Kornet,C,7-2,250,"July 15, 1995",us US,6,Vanderbilt,BOS,2024
50,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,5,Kansas,BOS,2024
13,Drew Peterson,PF,6-9,205,"November 9, 1999",us US,R,"Rice University, USC",BOS,2024
8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lv LV,7,,BOS,2024
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,3,Oregon,BOS,2024
88,Neemias Queta,C,7-0,245,"July 13, 1999",pt PT,2,Utah State University,BOS,2024
44,Jaden Springer,PG,6-4,204,"September 25, 2002",us US,2,Tennessee,BOS,2024
77,Lamar Stevens,PF,6-6,230,"July 9, 1997",us US,3,Penn State,BOS,2024
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,6,Duke,BOS,2024
26,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us US,3,Michigan State,BOS,2024
27,Jordan Walsh,SF,6-7,205,"March 3, 2004",us US,R,Arkansas,BOS,2024
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,6,"Colorado-Colorado Springs, Colorado",BOS,2024
11,Sherman Douglas,PG,6-0,180,"September 15, 1966",us US,11,Syracuse,BKN,2001
42,Evan Eschmeyer,C,6-11,255,"May 30, 1975",us US,1,Northwestern,BKN,2001
14,Jamie Feick,C,6-9,255,"July 3, 1974",us US,4,Michigan State,BKN,2001
8,Eddie Gill,PG,6-0,190,"August 16, 1978",us US,R,Weber State,BKN,2001
13,Kendall Gill,SG,6-5,195,"May 25, 1968",us US,10,Illinois,BKN,2001
12,Lucious Harris,SG,6-5,190,"December 18, 1970",us US,7,Cal State Long Beach,BKN,2001
24,Stephen Jackson,SF,6-8,218,"April 5, 1978",us US,R,Butler County Community College,BKN,2001
33,Stephon Marbury,PG,6-2,180,"February 20, 1977",us US,4,Georgia Tech,BKN,2001
6,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,R,Cincinnati,BKN,2001
22,Jim McIlvaine,C,7-1,240,"July 30, 1972",us US,6,Marquette,BKN,2001
20,Johnny Newman,SG,6-7,190,"November 28, 1963",us US,14,Richmond,BKN,2001
2,Kevin Ollie,PG,6-4,195,"December 27, 1972",us US,3,UConn,BKN,2001
2,Doug Overton,PG,6-3,190,"August 3, 1969",us US,8,La Salle,BKN,2001
45,Soumaila Samake,C,7-0,230,"March 18, 1978",ml ML,R,,BKN,2001
50,Vladimir Stepania,C,7-0,236,"May 8, 1976",ge GE,2,,BKN,2001
31,Mark Strickland,SF,6-9,210,"July 14, 1970",us US,5,Temple,BKN,2001
5,Jamel Thomas,SF,6-6,215,"March 25, 1973",us US,1,Providence,BKN,2001
44,Keith Van Horn,SF,6-10,220,"October 23, 1975",us US,3,Utah,BKN,2001
34,Aaron Williams,PF,6-9,220,"October 2, 1971",us US,6,Xavier,BKN,2001
1,Brandon Armstrong,SG,6-5,188,"June 16, 1980",us US,R,Pepperdine,BKN,2002
35,Jason Collins,C,7-0,255,"December 2, 1978",us US,R,Stanford,BKN,2002
10,Derrick Dial,SG,6-4,184,"December 20, 1975",us US,2,Eastern Michigan,BKN,2002
54,Steve Goodrich,SF,6-10,220,"March 18, 1976",us US,1,Princeton,BKN,2002
12,Lucious Harris,SG,6-5,190,"December 18, 1970",us US,8,Cal State Long Beach,BKN,2002
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,R,Arizona,BKN,2002
8,Anthony Johnson,SG,6-3,190,"October 2, 1974",us US,4,College of Charleston,BKN,2002
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,7,California,BKN,2002
30,Kerry Kittles,SG,6-5,179,"June 12, 1974",us US,4,Villanova,BKN,2002
11,Todd MacCulloch,C,7-0,280,"January 27, 1976",ca CA,2,Washington,BKN,2002
13,Donny Marshall,SF,6-7,230,"July 17, 1972",us US,3,UConn,BKN,2002
6,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,1,Cincinnati,BKN,2002
21,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us US,R,USC,BKN,2002
50,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,6,Wyoming,BKN,2002
44,Keith Van Horn,SF,6-10,220,"October 23, 1975",us US,4,Utah,BKN,2002
34,Aaron Williams,PF,6-9,220,"October 2, 1971",us US,7,Xavier,BKN,2002
1,Brandon Armstrong,SG,6-5,188,"June 16, 1980",us US,1,Pepperdine,BKN,2003
11,Chris Childs,PG,6-3,195,"November 20, 1967",us US,8,Boise State,BKN,2003
35,Jason Collins,C,7-0,255,"December 2, 1978",us US,1,Stanford,BKN,2003
12,Lucious Harris,SG,6-5,190,"December 18, 1970",us US,9,Cal State Long Beach,BKN,2003
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,1,Arizona,BKN,2003
2,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,5,College of Charleston,BKN,2003
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,8,California,BKN,2003
30,Kerry Kittles,SG,6-5,179,"June 12, 1974",us US,5,Villanova,BKN,2003
13,Donny Marshall,SF,6-7,230,"July 17, 1972",us US,4,UConn,BKN,2003
6,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,2,Cincinnati,BKN,2003
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,11,Georgetown,BKN,2003
54,Rodney Rogers,PF,6-7,235,"June 20, 1971",us US,9,Wake Forest,BKN,2003
21,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us US,1,USC,BKN,2003
8,Tamar Slay,SG,6-8,215,"April 2, 1980",us US,R,Marshall,BKN,2003
34,Aaron Williams,C,6-9,220,"October 2, 1971",us US,8,Xavier,BKN,2003
1,Brandon Armstrong,SG,6-5,188,"June 16, 1980",us US,2,Pepperdine,BKN,2004
31,Damone Brown,PF,6-9,200,"June 28, 1979",us US,2,Syracuse,BKN,2004
35,Jason Collins,C,7-0,255,"December 2, 1978",us US,2,Stanford,BKN,2004
44,Hubert Davis,SG,6-5,183,"May 17, 1970",us US,11,UNC,BKN,2004
9,Anthony Goldwire,PG,6-1,182,"September 6, 1971",us US,5,Houston,BKN,2004
12,Lucious Harris,PG,6-5,190,"December 18, 1970",us US,10,Cal State Long Beach,BKN,2004
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,2,Arizona,BKN,2004
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,9,California,BKN,2004
30,Kerry Kittles,SG,6-5,179,"June 12, 1974",us US,6,Villanova,BKN,2004
6,Kenyon Martin,PF,6-9,234,"December 30, 1977",us US,3,Cincinnati,BKN,2004
45,Mikki Moore,C,6-11,225,"November 4, 1975",us US,5,Nebraska,BKN,2004
33,Alonzo Mourning,C,6-10,240,"February 8, 1970",us US,10,Georgetown,BKN,2004
2,Doug Overton,PG,6-3,190,"August 3, 1969",us US,10,La Salle,BKN,2004
9,Robert Pack,PG,6-2,180,"February 3, 1969",us US,12,USC,BKN,2004
10,Zoran Planinić,SG,6-7,195,"September 12, 1982",ba BA,R,,BKN,2004
54,Rodney Rogers,PF,6-7,235,"June 20, 1971",us US,10,Wake Forest,BKN,2004
21,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us US,2,USC,BKN,2004
8,Tamar Slay,SG,6-8,215,"April 2, 1980",us US,1,Marshall,BKN,2004
34,Aaron Williams,C,6-9,220,"October 2, 1971",us US,9,Xavier,BKN,2004
6,Travis Best,PG,5-11,182,"July 12, 1972",us US,9,Georgia Tech,BKN,2005
2,Rodney Buford,SF,6-5,189,"November 2, 1977",us US,4,Creighton,BKN,2005
41,Elden Campbell,C,6-11,215,"July 23, 1968",us US,14,Clemson,BKN,2005
15,Vince Carter,SF,6-6,220,"January 26, 1977",us US,6,UNC,BKN,2005
35,Jason Collins,C,7-0,255,"December 2, 1978",us US,3,Stanford,BKN,2005
28,Kaniel Dickens,SF,6-8,215,"July 21, 1978",us US,1,"Tyler Junior College, Idaho",BKN,2005
44,Donnell Harvey,PF,6-8,220,"August 26, 1980",us US,4,Florida,BKN,2005
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,3,Arizona,BKN,2005
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,10,California,BKN,2005
12,Nenad Krstić,PF,7-0,240,"July 25, 1983",rs RS,R,,BKN,2005
1,Ron Mercer,SF,6-7,210,"May 18, 1976",us US,7,Kentucky,BKN,2005
7,Jérôme Moïso,C,6-10,235,"June 15, 1978",fr FR,4,UCLA,BKN,2005
33,Alonzo Mourning,PF,6-10,240,"February 8, 1970",us US,11,Georgetown,BKN,2005
10,Zoran Planinić,PG,6-7,195,"September 12, 1982",ba BA,1,,BKN,2005
30,Clifford Robinson,PF,6-10,225,"December 16, 1966",us US,15,UConn,BKN,2005
21,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us US,3,USC,BKN,2005
55,Jabari Smith,PF,6-11,250,"February 12, 1977",us US,3,LSU,BKN,2005
26,Awvee Storey,SG,6-6,222,"April 18, 1977",us US,R,"Illinois, Arizona State",BKN,2005
20,Billy Thomas,SF,6-4,208,"December 23, 1975",us US,R,Kansas,BKN,2005
11,Jacque Vaughn,SG,6-1,190,"February 11, 1975",us US,7,Kansas,BKN,2005
34,Aaron Williams,C,6-9,220,"October 2, 1971",us US,10,Xavier,BKN,2005
17,Eric Williams,SG,6-8,220,"July 17, 1972",us US,9,"Vincennes University, Providence",BKN,2005
15,Vince Carter,SG,6-6,220,"January 26, 1977",us US,7,UNC,BKN,2006
35,Jason Collins,C,7-0,255,"December 2, 1978",us US,4,Stanford,BKN,2006
44,Marc Jackson,C,6-10,270,"January 16, 1975",us US,5,"VCU, Temple",BKN,2006
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,4,Arizona,BKN,2006
43,Linton Johnson,SF,6-8,205,"June 13, 1980",us US,2,Tulane,BKN,2006
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,11,California,BKN,2006
12,Nenad Krstić,PF,7-0,240,"July 25, 1983",rs RS,1,,BKN,2006
0,Jeff McInnis,SG,6-4,190,"October 22, 1974",us US,8,UNC,BKN,2006
31,Lamond Murray,SF,6-7,236,"April 20, 1973",us US,10,California,BKN,2006
7,Boštjan Nachbar,SF,6-9,221,"July 3, 1980",si SI,3,,BKN,2006
34,Scott Padgett,PF,6-9,240,"April 19, 1976",us US,6,Kentucky,BKN,2006
10,Zoran Planinić,PG,6-7,195,"September 12, 1982",ba BA,2,,BKN,2006
30,Clifford Robinson,PF,6-10,225,"December 16, 1966",us US,16,UConn,BKN,2006
41,John Thomas,C,6-9,265,"September 8, 1975",us US,4,Minnesota,BKN,2006
11,Jacque Vaughn,SG,6-1,190,"February 11, 1975",us US,8,Kansas,BKN,2006
21,Antoine Wright,SG,6-7,210,"February 6, 1984",us US,R,Texas A&M,BKN,2006
2,Derrick Zimmerman,PG,6-3,195,"December 2, 1981",us US,R,Mississippi State,BKN,2006
8,Hassan Adams,SG,6-4,220,"June 20, 1984",us US,R,Arizona,BKN,2007
2,Josh Boone,PF,6-10,237,"November 21, 1984",us US,R,UConn,BKN,2007
15,Vince Carter,SG,6-6,220,"January 26, 1977",us US,8,UNC,BKN,2007
35,Jason Collins,PF,7-0,255,"December 2, 1978",us US,5,Stanford,BKN,2007
50,Eddie House,SG,6-1,180,"May 14, 1978",us US,6,Arizona State,BKN,2007
9,Mile Ilić,C,7-1,230,"June 2, 1984",ba BA,R,,BKN,2007
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,5,Arizona,BKN,2007
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,12,California,BKN,2007
12,Nenad Krstić,C,7-0,240,"July 25, 1983",rs RS,2,,BKN,2007
33,Mikki Moore,C,6-11,225,"November 4, 1975",us US,8,Nebraska,BKN,2007
7,Boštjan Nachbar,SF,6-9,221,"July 3, 1980",si SI,4,,BKN,2007
22,Bernard Robinson,SF,6-6,210,"December 26, 1980",us US,2,Michigan,BKN,2007
30,Clifford Robinson,C,6-10,225,"December 16, 1966",us US,17,UConn,BKN,2007
1,Marcus Williams,PG,6-3,205,"December 3, 1985",us US,R,UConn,BKN,2007
21,Antoine Wright,SG,6-7,210,"February 6, 1984",us US,1,Texas A&M,BKN,2007
13,Maurice Ager,SG,6-5,202,"February 9, 1984",us US,1,Michigan State,BKN,2008
30,Malik Allen,PF,6-10,255,"June 27, 1978",us US,6,Villanova,BKN,2008
10,Darrell Armstrong,PG,6-0,170,"June 22, 1968",us US,13,Fayetteville State University,BKN,2008
2,Josh Boone,PF,6-10,237,"November 21, 1984",us US,1,UConn,BKN,2008
15,Vince Carter,SG,6-6,220,"January 26, 1977",us US,9,UNC,BKN,2008
35,Jason Collins,C,7-0,255,"December 2, 1978",us US,6,Stanford,BKN,2008
14,DeSagana Diop,C,7-0,300,"January 30, 1982",sn SN,6,,BKN,2008
8,Eddie Gill,PG,6-0,190,"August 16, 1978",us US,5,Weber State,BKN,2008
34,Devin Harris,PG,6-3,185,"February 27, 1983",us US,3,Wisconsin,BKN,2008
44,Trenton Hassell,SG,6-5,200,"March 4, 1979",us US,6,Austin Peay State University,BKN,2008
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,6,Arizona,BKN,2008
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,13,California,BKN,2008
12,Nenad Krstić,C,7-0,240,"July 25, 1983",rs RS,3,,BKN,2008
20,Jamaal Magloire,C,6-11,259,"May 21, 1978",ca CA,7,Kentucky,BKN,2008
7,Boštjan Nachbar,PF,6-9,221,"July 3, 1980",si SI,5,,BKN,2008
6,Stromile Swift,PF,6-9,225,"November 21, 1979",us US,7,LSU,BKN,2008
22,Billy Thomas,SF,6-4,208,"December 23, 1975",us US,2,Kansas,BKN,2008
1,Marcus Williams,PG,6-3,205,"December 3, 1985",us US,1,UConn,BKN,2008
51,Sean Williams,C,6-10,235,"September 13, 1986",us US,R,Boston College,BKN,2008
21,Antoine Wright,SG,6-7,210,"February 6, 1984",us US,2,Texas A&M,BKN,2008
13,Maurice Ager,SG,6-5,202,"February 9, 1984",us US,2,Michigan State,BKN,2009
20,Ryan Anderson,PF,6-9,240,"May 6, 1988",us US,R,California,BKN,2009
2,Josh Boone,C,6-10,237,"November 21, 1984",us US,2,UConn,BKN,2009
15,Vince Carter,SG,6-6,220,"January 26, 1977",us US,10,UNC,BKN,2009
55,Keyon Dooling,PG,6-3,196,"May 8, 1980",us US,8,Missouri,BKN,2009
17,Chris Douglas-Roberts,SG,6-7,200,"January 8, 1987",us US,R,Memphis,BKN,2009
34,Devin Harris,PG,6-3,185,"February 27, 1983",us US,4,Wisconsin,BKN,2009
44,Trenton Hassell,SF,6-5,200,"March 4, 1979",us US,7,Austin Peay State University,BKN,2009
22,Jarvis Hayes,SF,6-7,220,"August 9, 1981",us US,5,"Western Carolina University, Georgia",BKN,2009
9,Yi Jianlian,PF,7-0,240,"October 27, 1987",cn CN,1,,BKN,2009
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,R,Stanford,BKN,2009
14,Eduardo Nájera,PF,6-8,240,"July 11, 1976",mx MX,8,Oklahoma,BKN,2009
21,Bobby Simmons,SF,6-7,210,"June 2, 1980",us US,6,DePaul,BKN,2009
6,Stromile Swift,PF,6-9,225,"November 21, 1979",us US,8,LSU,BKN,2009
51,Sean Williams,PF,6-10,235,"September 13, 1986",us US,1,Boston College,BKN,2009
1,Rafer Alston,PG,6-2,171,"July 24, 1976",us US,10,Fresno State,BKN,2010
7,Tony Battie,C,6-11,230,"February 11, 1976",us US,11,Texas Tech,BKN,2010
2,Josh Boone,PF,6-10,237,"November 21, 1984",us US,3,UConn,BKN,2010
55,Keyon Dooling,PG,6-3,196,"May 8, 1980",us US,9,Missouri,BKN,2010
17,Chris Douglas-Roberts,SF,6-7,200,"January 8, 1987",us US,1,Memphis,BKN,2010
34,Devin Harris,PG,6-3,185,"February 27, 1983",us US,5,Wisconsin,BKN,2010
44,Trenton Hassell,SF,6-5,200,"March 4, 1979",us US,8,Austin Peay State University,BKN,2010
22,Jarvis Hayes,SF,6-7,220,"August 9, 1981",us US,6,"Western Carolina University, Georgia",BKN,2010
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,5,Minnesota,BKN,2010
9,Yi Jianlian,PF,7-0,240,"October 27, 1987",cn CN,2,,BKN,2010
6,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,1,Western Kentucky,BKN,2010
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,1,Stanford,BKN,2010
14,Eduardo Nájera,PF,6-8,240,"July 11, 1976",mx MX,9,Oklahoma,BKN,2010
1,Chris Quinn,PG,6-2,185,"September 27, 1983",us US,3,Notre Dame,BKN,2010
21,Bobby Simmons,PF,6-7,210,"June 2, 1980",us US,7,DePaul,BKN,2010
51,Sean Williams,PF,6-10,235,"September 13, 1986",us US,2,Boston College,BKN,2010
8,Terrence Williams,SF,6-6,220,"June 28, 1987",us US,R,Louisville,BKN,2010
2,Jordan Farmar,PG,6-2,180,"November 30, 1986",us US,4,UCLA,BKN,2011
14,Derrick Favors,PF,6-9,265,"July 15, 1991",us US,R,Georgia Tech,BKN,2011
50,Dan Gadzuric,PF,6-11,240,"February 2, 1978",nl NL,8,UCLA,BKN,2011
0,Sundiata Gaines,PG,6-1,185,"April 18, 1986",us US,1,Georgia,BKN,2011
26,Stephen Graham,SG,6-6,215,"June 11, 1982",us US,5,"Central Florida, Oklahoma State",BKN,2011
0,Orien Greene,SG,6-4,208,"February 4, 1982",us US,3,"Florida, Louisiana",BKN,2011
34,Devin Harris,PG,6-3,185,"February 27, 1983",us US,6,Wisconsin,BKN,2011
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,6,Minnesota,BKN,2011
10,Damion James,SF,6-7,225,"October 7, 1987",us US,R,Texas,BKN,2011
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,2,Stanford,BKN,2011
22,Anthony Morrow,SG,6-5,210,"September 27, 1985",us US,2,Georgia Tech,BKN,2011
7,Troy Murphy,PF,6-11,245,"May 2, 1980",us US,9,Notre Dame,BKN,2011
21,Travis Outlaw,SF,6-9,210,"September 18, 1984",us US,7,,BKN,2011
27,Johan Petro,C,7-0,247,"January 27, 1986",fr FR,5,,BKN,2011
13,Quinton Ross,SF,6-6,195,"April 30, 1981",us US,6,SMU,BKN,2011
8,Joe Smith,PF,6-10,225,"July 26, 1975",us US,15,Maryland,BKN,2011
18,Ben Uzoh,PG,6-3,205,"March 19, 1988",us US,R,Tulsa,BKN,2011
20,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si SI,6,,BKN,2011
6,Mario West,SG,6-5,210,"June 19, 1984",us US,3,Georgia Tech,BKN,2011
8,Deron Williams,PG,6-3,200,"June 26, 1984",us US,5,Illinois,BKN,2011
1,Terrence Williams,SG,6-6,220,"June 28, 1987",us US,1,Louisville,BKN,2011
34,Brandan Wright,PF,6-10,210,"October 5, 1987",us US,2,UNC,BKN,2011
6,Keith Bogans,SF,6-5,215,"May 12, 1980",us US,8,Kentucky,BKN,2012
9,MarShon Brooks,SG,6-5,200,"January 26, 1989",us US,R,Providence,BKN,2012
14,Andre Emmett,SF,6-5,230,"August 27, 1982",us US,1,Texas Tech,BKN,2012
2,Jordan Farmar,PG,6-2,180,"November 30, 1986",us US,5,UCLA,BKN,2012
1,Sundiata Gaines,SG,6-1,185,"April 18, 1986",us US,2,Georgia,BKN,2012
14,Gerald Green,SF,6-6,205,"January 26, 1986",us US,4,,BKN,2012
31,Dennis Horner,PF,6-9,230,"February 5, 1988",us US,R,NC State,BKN,2012
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,7,Minnesota,BKN,2012
10,Damion James,SF,6-7,225,"October 7, 1987",us US,1,Texas,BKN,2012
7,Armon Johnson,PG,6-3,195,"February 23, 1989",us US,1,Nevada,BKN,2012
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,3,Stanford,BKN,2012
22,Anthony Morrow,SG,6-5,210,"September 27, 1985",us US,3,Georgia Tech,BKN,2012
13,Mehmet Okur,C,6-11,249,"May 26, 1979",tr TR,9,,BKN,2012
24,Larry Owens,SF,6-7,210,"January 8, 1983",us US,1,Oral Roberts,BKN,2012
27,Johan Petro,C,7-0,247,"January 27, 1986",fr FR,6,,BKN,2012
28,Jerry Smith,PG,6-2,190,"September 26, 1987",us US,R,Louisville,BKN,2012
92,DeShawn Stevenson,SF,6-5,210,"April 3, 1981",us US,11,,BKN,2012
45,Gerald Wallace,SF,6-7,215,"July 23, 1982",us US,10,Alabama,BKN,2012
8,Deron Williams,PG,6-3,200,"June 26, 1984",us US,6,Illinois,BKN,2012
20,Jordan Williams,C,6-10,260,"October 11, 1990",us US,R,Maryland,BKN,2012
7,Shawne Williams,SF,6-9,225,"February 16, 1986",us US,4,Memphis,BKN,2012
33,Shelden Williams,C,6-9,250,"October 21, 1983",us US,5,Duke,BKN,2012
0,Andray Blatche,C,6-11,235,"August 22, 1986",us US,7,,BKN,2013
10,Keith Bogans,SG,6-5,215,"May 12, 1980",us US,9,Kentucky,BKN,2013
9,MarShon Brooks,SG,6-5,200,"January 26, 1989",us US,1,Providence,BKN,2013
